uid,iid,r_ui,est,diff,Erlös
43,95,5.0,3.6119256019592285,1.3880743980407715,5
119,2130,5.0,3.8401002883911133,1.1598997116088867,5
44,164,3.0,2.948089599609375,0.051910400390625,0
83,510,2.0,3.204174757003784,1.2041747570037842,0
140,2663,3.0,2.375725746154785,0.6242742538452148,0
127,2778,4.0,3.7790942192077637,0.22090578079223633,5
15,359,3.0,3.639735698699951,0.6397356986999512,5
184,789,4.5,4.453035831451416,0.046964168548583984,5
64,68,3.0,4.285158634185791,1.285158634185791,5
171,622,3.0,4.760895729064941,1.7608957290649414,5
132,37,4.0,3.3270533084869385,0.6729466915130615,0
69,811,4.0,2.999147415161133,1.0008525848388672,0
20,111,4.5,3.746641159057617,0.7533588409423828,5
177,2897,3.0,3.058506727218628,0.05850672721862793,0
121,623,5.0,4.573633670806885,0.42636632919311523,5
93,191,3.0,3.107658624649048,0.10765862464904785,0
116,98,4.0,3.906682014465332,0.09331798553466797,5
4,729,2.5,3.255976438522339,0.7559764385223389,0
138,674,5.0,3.779393196105957,1.220606803894043,5
145,1381,5.0,3.9454102516174316,1.0545897483825684,5
98,2015,4.0,2.9803357124328613,1.0196642875671387,0
5,855,4.0,4.063811302185059,0.0638113021850586,5
178,1940,4.0,3.2474050521850586,0.7525949478149414,0
39,2572,5.0,4.74950647354126,0.25049352645874023,5
46,64,4.0,3.5809144973754883,0.4190855026245117,5
127,188,5.0,4.407419204711914,0.5925807952880859,5
184,967,3.5,3.7031126022338867,0.20311260223388672,5
91,59,4.5,3.6334285736083984,0.8665714263916016,5
145,3,3.5,4.057152271270752,0.557152271270752,5
93,1322,0.5,1.6367499828338623,1.1367499828338623,0
124,62,4.0,4.138177394866943,0.13817739486694336,5
119,42,4.0,3.5046491622924805,0.49535083770751953,5
148,955,5.0,4.70759916305542,0.2924008369445801,5
48,2653,4.0,2.7325193881988525,1.2674806118011475,0
74,70,5.0,4.139092445373535,0.8609075546264648,5
166,194,4.0,3.8233604431152344,0.17663955688476562,5
78,2537,4.0,3.4110100269317627,0.5889899730682373,5
91,1396,4.0,3.2927610874176025,0.7072389125823975,0
140,1722,3.0,3.1325364112854004,0.1325364112854004,0
18,988,4.0,3.8476781845092773,0.15232181549072266,5
140,1033,3.0,2.516788959503174,0.48321104049682617,0
93,2127,3.0,2.5022900104522705,0.4977099895477295,0
83,598,2.5,3.2550315856933594,0.7550315856933594,0
55,764,3.5,2.942256212234497,0.5577437877655029,0
27,2436,3.0,4.091535568237305,1.0915355682373047,5
105,712,5.0,4.6025896072387695,0.39741039276123047,5
20,2170,4.0,4.416575908660889,0.41657590866088867,5
84,1873,5.0,4.1861796379089355,0.8138203620910645,5
113,1805,4.5,3.724557399749756,0.7754426002502441,5
158,1315,1.0,3.9391708374023438,2.9391708374023438,5
96,458,4.0,2.320345163345337,1.679654836654663,0
85,174,2.0,3.4863758087158203,1.4863758087158203,5
11,487,0.5,3.120457649230957,2.620457649230957,0
121,1755,4.0,4.20106315612793,0.2010631561279297,5
127,111,4.0,3.8623170852661133,0.13768291473388672,5
177,954,2.5,3.4963529109954834,0.9963529109954834,5
71,2291,3.0,3.5276756286621094,0.5276756286621094,5
179,82,5.0,3.8578453063964844,1.1421546936035156,5
24,2386,4.0,4.1434197425842285,0.14341974258422852,5
119,369,5.0,3.8818655014038086,1.1181344985961914,5
184,2609,3.0,3.3281829357147217,0.3281829357147217,0
135,587,2.0,2.4543120861053467,0.4543120861053467,0
9,910,4.0,3.2876808643341064,0.7123191356658936,0
164,679,4.0,3.666558265686035,0.33344173431396484,5
8,605,3.0,3.3516745567321777,0.35167455673217773,0
177,994,3.5,3.030750036239624,0.469249963760376,0
71,2355,4.5,3.465404510498047,1.0345954895019531,5
5,861,4.5,3.746908664703369,0.7530913352966309,5
139,1567,3.0,3.5832462310791016,0.5832462310791016,5
6,801,3.0,2.1045103073120117,0.8954896926879883,0
131,26,2.0,2.988107919692993,0.9881079196929932,0
107,159,4.0,3.723158836364746,0.2768411636352539,5
3,666,1.0,4.0627593994140625,3.0627593994140625,5
161,984,2.5,3.2091286182403564,0.7091286182403564,0
127,1139,2.0,2.8115479946136475,0.8115479946136475,0
11,638,4.0,3.4350595474243164,0.5649404525756836,5
5,982,4.0,4.185744762420654,0.1857447624206543,5
98,34,5.0,4.131281852722168,0.868718147277832,5
5,378,4.5,4.216651916503906,0.28334808349609375,5
